CNAE,DESCRIÇÃO,SEÇÃO,DIVISÃO,GRUPO
111,Cultivo de cereais,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
112,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
113,Cultivo de cana-de-açúcar,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
114,Cultivo de fumo,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
115,Cultivo de soja,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
116,"Cultivo de oleaginosas de lavoura temporária, exceto soja","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
119,Cultivo de plantas de lavoura temporária não especificadas anteriormente,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras temporárias
121,Horticultura,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Horticultura e floricultura
122,Cultivo de flores e plantas ornamentais,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Horticultura e floricultura
131,Cultivo de laranja,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras permanentes
132,Cultivo de uva,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras permanentes
